# https://simplemaps.com/data/us-cities
"city","state_name","county_name"
"New York","New York","New York"
"Los Angeles","California","Los Angeles"
"Chicago","Illinois","Cook"
"Miami","Florida","Miami-Dade"
"Dallas","Texas","Dallas"
"Philadelphia","Pennsylvania","Philadelphia"
"Houston","Texas","Harris"
"Atlanta","Georgia","Fulton"
"Washington","District of Columbia","District of Columbia"
"Boston","Massachusetts","Suffolk"
"Phoenix","Arizona","Maricopa"
"Seattle","Washington","King"
"San Francisco","California","San Francisco"
"Detroit","Michigan","Wayne"
"San Diego","California","San Diego"
"Minneapolis","Minnesota","Hennepin"
"Tampa","Florida","Hillsborough"
"Denver","Colorado","Denver"
"Brooklyn","New York","Kings"
"Queens","New York","Queens"
"Riverside","California","Riverside"
"Baltimore","Maryland","Baltimore"
"Las Vegas","Nevada","Clark"
"Portland","Oregon","Multnomah"
"San Antonio","Texas","Bexar"
"St. Louis","Missouri","St. Louis"
"Sacramento","California","Sacramento"
"Orlando","Florida","Orange"
"San Jose","California","Santa Clara"
"Cleveland","Ohio","Cuyahoga"
"Pittsburgh","Pennsylvania","Allegheny"
"Austin","Texas","Travis"
"Cincinnati","Ohio","Hamilton"
"Kansas City","Missouri","Jackson"
"Manhattan","New York","New York"
"Indianapolis","Indiana","Marion"
"Columbus","Ohio","Franklin"
"Charlotte","North Carolina","Mecklenburg"
"Virginia Beach","Virginia","Virginia Beach"
"Bronx","New York","Bronx"
"Milwaukee","Wisconsin","Milwaukee"
"Providence","Rhode Island","Providence"
"Jacksonville","Florida","Duval"
"Salt Lake City","Utah","Salt Lake"
"Nashville","Tennessee","Davidson"
"Richmond","Virginia","Richmond"
"Memphis","Tennessee","Shelby"
"Raleigh","North Carolina","Wake"
"New Orleans","Louisiana","Orleans"
"Louisville","Kentucky","Jefferson"
"Oklahoma City","Oklahoma","Oklahoma"
"Bridgeport","Connecticut","Fairfield"
"Buffalo","New York","Erie"
"Fort Worth","Texas","Tarrant"
"Hartford","Connecticut","Hartford"
"Tucson","Arizona","Pima"
"Omaha","Nebraska","Douglas"
"El Paso","Texas","El Paso"
"Honolulu","Hawaii","Honolulu"
"McAllen","Texas","Hidalgo"
"Albuquerque","New Mexico","Bernalillo"
"Birmingham","Alabama","Jefferson"
"Sarasota","Florida","Sarasota"
"Dayton","Ohio","Montgomery"
"Rochester","New York","Monroe"
"Fresno","California","Fresno"
"Allentown","Pennsylvania","Lehigh"
"Tulsa","Oklahoma","Tulsa"
"Cape Coral","Florida","Lee"
"Concord","California","Contra Costa"
"Colorado Springs","Colorado","El Paso"
"Charleston","South Carolina","Charleston"
"Springfield","Massachusetts","Hampden"
"Grand Rapids","Michigan","Kent"
"Mission Viejo","California","Orange"
"Albany","New York","Albany"
"Knoxville","Tennessee","Knox"
"Bakersfield","California","Kern"
"Ogden","Utah","Weber"
"Baton Rouge","Louisiana","East Baton Rouge"
"Akron","Ohio","Summit"
"New Haven","Connecticut","New Haven"
"Columbia","South Carolina","Richland"
"Mesa","Arizona","Maricopa"
"Palm Bay","Florida","Brevard"
"Provo","Utah","Utah"
"Worcester","Massachusetts","Worcester"
"Murrieta","California","Riverside"
"Greenville","South Carolina","Greenville"
"Wichita","Kansas","Sedgwick"
"Toledo","Ohio","Lucas"
"Staten Island","New York","Richmond"
"Des Moines","Iowa","Polk"
"Long Beach","California","Los Angeles"
"Port St. Lucie","Florida","St. Lucie"
"Denton","Texas","Denton"
"Madison","Wisconsin","Dane"
"Reno","Nevada","Washoe"
"Harrisburg","Pennsylvania","Dauphin"
"Little Rock","Arkansas","Pulaski"
"Oakland","California","Alameda"
"Durham","North Carolina","Durham"
"Winston-Salem","North Carolina","Forsyth"
"Bonita Springs","Florida","Lee"
"Indio","California","Riverside"
"Palm Coast","Florida","Flagler"
"Chattanooga","Tennessee","Hamilton"
"Spokane","Washington","Spokane"
"Syracuse","New York","Onondaga"
"Lancaster","Pennsylvania","Lancaster"
"Arlington","Texas","Tarrant"
"Stockton","California","San Joaquin"
"Poughkeepsie","New York","Dutchess"
"Augusta","Georgia","Richmond"
"Boise","Idaho","Ada"
"Oxnard","California","Ventura"
"Scranton","Pennsylvania","Lackawanna"
"Modesto","California","Stanislaus"
"Kissimmee","Florida","Osceola"
"Aurora","Colorado","Adams"
"Youngstown","Ohio","Mahoning"
"Fayetteville","Arkansas","Washington"
"Anaheim","California","Orange"
"Pensacola","Florida","Escambia"
"Victorville","California","San Bernardino"
"Lancaster","California","Los Angeles"
"Greensboro","North Carolina","Guilford"
"Corpus Christi","Texas","Nueces"
"Fort Wayne","Indiana","Allen"
"Santa Ana","California","Orange"
"Flint","Michigan","Genesee"
"Fayetteville","North Carolina","Cumberland"
"Jackson","Mississippi","Hinds"
"Santa Rosa","California","Sonoma"
"Lansing","Michigan","Ingham"
"San Juan","Puerto Rico","San Juan"
"Lexington","Kentucky","Fayette"
"Ann Arbor","Michigan","Washtenaw"
"Henderson","Nevada","Clark"
"Huntsville","Alabama","Madison"
"Mobile","Alabama","Mobile"
"Fort Collins","Colorado","Larimer"
"Asheville","North Carolina","Buncombe"
"Santa Clarita","California","Los Angeles"
"St. Paul","Minnesota","Ramsey"
"Antioch","California","Contra Costa"
"Lakeland","Florida","Polk"
"Trenton","New Jersey","Mercer"
"Lincoln","Nebraska","Lancaster"
"Springfield","Missouri","Greene"
"Anchorage","Alaska","Anchorage"
"Plano","Texas","Collin"
"Irvine","California","Orange"
"Davenport","Iowa","Scott"
"Rockford","Illinois","Winnebago"
"Newark","New Jersey","Essex"
"South Bend","Indiana","St. Joseph"
"Shreveport","Louisiana","Caddo"
"Round Lake Beach","Illinois","Lake"
"Savannah","Georgia","Chatham"
"Myrtle Beach","South Carolina","Horry"
"Chula Vista","California","San Diego"
"Eugene","Oregon","Lane"
"Canton","Ohio","Stark"
"Lubbock","Texas","Lubbock"
"Reading","Pennsylvania","Berks"
"Winter Haven","Florida","Polk"
"Salem","Oregon","Marion"
"St. Petersburg","Florida","Pinellas"
"Lafayette","Louisiana","Lafayette"
"Laredo","Texas","Webb"
"Jersey City","New Jersey","Hudson"
"Concord","North Carolina","Cabarrus"
"Columbus","Georgia","Muscogee"
"Chandler","Arizona","Maricopa"
"McKinney","Texas","Collin"
"Scottsdale","Arizona","Maricopa"
"Killeen","Texas","Bell"
"Tallahassee","Florida","Leon"
"Peoria","Illinois","Peoria"
"Wilmington","North Carolina","New Hanover"
"Montgomery","Alabama","Montgomery"
"Gilbert","Arizona","Maricopa"
"Glendale","Arizona","Maricopa"
"North Las Vegas","Nevada","Clark"
"Chesapeake","Virginia","Chesapeake"
"Barnstable","Massachusetts","Barnstable"
"Norfolk","Virginia","Norfolk"
"Fremont","California","Alameda"
"Kennewick","Washington","Benton"
"Garland","Texas","Dallas"
"Irving","Texas","Dallas"
"Visalia","California","Tulare"
"Atlantic City","New Jersey","Atlantic"
